	agitation rate	clockTime	CoSO4.7H2O	CuSO4.5H2O	DIP	EMS	FeSO4.7H2O	gamma	H2O2	illumination	KCl	MgSO4.7H2O	MnSO4.H2O	Na3C6H5O7	NaCl	NiSO4.H2O	Optical density (600nm)	Oxoid peptone	oxygen	pH	pump rate	sparge gas	sparge rate	temperature	time	Uracil	uv	vessel type	vessel volume	volume ratio	ZnSO4.7H2O
Cu_-1_vs_NRC-1e.sig	300	0	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.586	1	38.6	7.09	11	0	3.8	37	-1	0.000446	0	fermentor	1.5	0.75	0
Cu_-5_vs_NRC-1.sig	300	0	0	0	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.586	1	38.6	7.09	12	0	3.8	37	-5	0.000446	0	fermentor	1.5	0.75	0
Cu_000_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.563	1	39	7	11	0	3.8	37	0	0.000446	0	fermentor	1.5	0.75	0
Cu_000_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.563	1	39	7	11	0	3.8	37	0	0.000446	0	fermentor	1.5	0.75	0
Cu_005_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.576	1	40	6.94	11	0	3.8	37	5	0.000446	0	fermentor	1.5	0.75	0
Cu_005_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.576	1	40	6.94	11	0	3.8	37	5	0.000446	0	fermentor	1.5	0.75	0
Cu_010_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.57	1	40.8	6.94	11	0	3.8	37	10	0.000446	0	fermentor	1.5	0.75	0
Cu_010_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.57	1	40.8	6.94	11	0	3.8	37	10	0.000446	0	fermentor	1.5	0.75	0
Cu_020_vs_NRC-1.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.561	1	41.6	6.95	11	0	3.8	37	20	0.000446	0	fermentor	1.5	0.75	0
Cu_020_vs_NRC-1e.sig	300	0	0	0.8*10^-3	0	0	0	0	0	0	0.027	0.08	0	0.01	4.28	0	0.561	1	41.6	6.95	11	0	3.8	37	20	0.000446	0	fermentor	1.5	0.75	0
