	batch	clockTime	flow rate	gamma	H2O2	illumination	overexpression	knockout	media-to-flask-volume-ratio	mevinolin	NaCl	Optical density (600nm)	Optical density (600nm) for NRC1d	Optical density (600nm) for NRC1e	Optical density (600nm) for NRC1g	Optical density for NRC-1e	Optical density for NRC-1h1	overexpressed gene	Oxoid peptone	oxygen	shaking	paraquat	pH	tag	temperature	time
O2_0258_-0001_L2H_vs_NRC1d.sig	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.8	0	0	6.88	0	0	-1
O2_0258_0005_H_vs_NRC1d.sig	0	0	0	0	0	0	0	0	0	0	0	0.507	0	0	0	0	0	0	0	52.4	0	0	7.14	0	0	5
O2_0258_0010_H_vs_NRC1d.sig	0	0	0	0	0	0	0	0	0	0	0	0.513	0	0	0	0	0	0	0	60.4	0	0	7.23	0	0	10
O2_0258_0020_H_vs_NRC1d.sig	0	0	0	0	0	0	0	0	0	0	0	0.504	0	0	0	0	0	0	0	66.4	0	0	7.21	0	0	20
O2_0258_0030_H_vs_NRC1d.sig	0	0	0	0	0	0	0	0	0	0	0	0.495	0	0	0	0	0	0	0	69.1	0	0	7.08	0	0	30
O2_0258_0045_H_vs_NRC1d.sig	0	0	0	0	0	0	0	0	0	0	0	0.469	0	0	0	0	0	0	0	71.8	0	0	6.87	0	0	45
O2_0258_0090_H_vs_NRC1d.sig	0	0	0	0	0	0	0	0	0	0	0	0.478	0	0	0	0	0	0	0	75.9	0	0	6.92	0	0	90
O2_0258_0180_H_vs_NRC1d.sig	0	0	0	0	0	0	0	0	0	0	0	0.478	0	0	0	0	0	0	0	79.5	0	0	6.88	0	0	180
o2_set1_-001m_L2H_005_vs_NRC-1c	0	9:11	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	-1
o2_set1_0001m_L2H_500_vs_NRC-1c	0	9:14	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	1
o2_set1_0005m_H_922_vs_NRC-1c	0	9:19	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	5
o2_set1_0010m_H_947_vs_NRC-1c	0	9:24	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	10
o2_set1_0020m_H_937_vs_NRC-1c	0	9:34	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	20
o2_set1_0030m_H_931_vs_NRC-1c	0	9:44	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	30
o2_set1_0045m_H_939_vs_NRC-1c	0	9:59	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	45
o2_set1_0090m_H_941_vs_NRC-1c	0	10:44	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	90
o2_set1_0180m_H_930_vs_NRC-1c	0	12:14	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	180
o2_set1_0360m_H_903_vs_NRC-1c	0	15:14	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	360
o2_set1_0362m_H2L_860_vs_NRC-1c	0	15:16	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	362
o2_set1_0367m_H2L_215_vs_NRC-1c	0	15:21	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	367
o2_set1_0372m_H2L_079_vs_NRC-1c	0	15:26	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	372
o2_set1_0382m_H2L_048_vs_NRC-1c	0	15:36	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	382
o2_set1_0387m_L_041_vs_NRC-1c	0	15:41	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	387
o2_set1_0392m_L_037_vs_NRC-1c	0	15:46	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	392
o2_set1_0397m_L_035_vs_NRC-1c	0	15:51	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	397
o2_set1_0407m_L_030_vs_NRC-1c	0	16:01	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	407
o2_set1_0417m_L_027_vs_NRC-1c	0	16:11	0	0	0	Light	0	0	0	0	4.28	0.7	0	0	0	0	0	0	1	50	0	0	0	0	37	417
